id1,id2
MD.model.ptg000007l.1487,ptg000007lG001252
MD.model.ptg000007l.1488,ptg000007lG001253
MD.model.ptg000007l.1489,ptg000007lG001254
MD.model.ptg000007l.149,ptg000007lG000110
MD.model.ptg000007l.1490,ptg000007lG001255
MD.model.ptg000007l.1492,ptg000007lG001257
MD.model.ptg000007l.1493,ptg000007lG001258
MD.model.ptg000007l.1494,ptg000007lG001259
MD.model.ptg000007l.1495,ptg000026lG000476
MD.model.ptg000007l.1496,ptg000007lG001261
MD.model.ptg000007l.1497,ptg000007lG001262
MD.model.ptg000007l.1498,ptg000007lG001263
MD.model.ptg000007l.1499,ptg000007lG001264
MD.model.ptg000007l.15,ptg000007lG000008
MD.model.ptg000007l.150,ptg000007lG000111
MD.model.ptg000007l.1500,ptg000007lG001265
MD.model.ptg000007l.1501,ptg000007lG001266
MD.model.ptg000007l.1503,ptg000007lG001267
MD.model.ptg000007l.1504,ptg000007lG001268
MD.model.ptg000007l.1505,ptg000007lG001269
MD.model.ptg000007l.1506,ptg000007lG001270
MD.model.ptg000007l.1507,ptg000007lG001271
MD.model.ptg000007l.1509,ptg000007lG001273
MD.model.ptg000007l.151,ptg000007lG000112
MD.model.ptg000007l.1510,ptg000007lG001274
MD.model.ptg000007l.1511,ptg000007lG001275
MD.model.ptg000007l.1513,ptg000007lG001276
MD.model.ptg000007l.1514,ptg000007lG001277
MD.model.ptg000007l.1515,ptg000007lG001278
MD.model.ptg000007l.1516,ptg000007lG001279
MD.model.ptg000007l.1517,ptg000007lG001280
MD.model.ptg000007l.1518,ptg000007lG001281
MD.model.ptg000007l.1519,ptg000007lG001282
MD.model.ptg000007l.1520,ptg000007lG001283
MD.model.ptg000007l.1523,ptg000007lG001285
MD.model.ptg000007l.1524,ptg000007lG001286
MD.model.ptg000007l.1525,ptg000007lG001287
MD.model.ptg000007l.1526,ptg000007lG001288
MD.model.ptg000007l.1528,ptg000007lG001289
MD.model.ptg000007l.1529,ptg000007lG001290
MD.model.ptg000007l.1530,ptg000007lG001291
MD.model.ptg000007l.1531,ptg000007lG001292
MD.model.ptg000007l.1532,ptg000044lG000533
MD.model.ptg000007l.1533,ptg000007lG001294
MD.model.ptg000007l.1534,ptg000007lG001295
MD.model.ptg000007l.1535,ptg000007lG001296
MD.model.ptg000007l.1537,ptg000007lG001298
MD.model.ptg000007l.154,ptg000007lG000115
MD.model.ptg000007l.1540,ptg000007lG001299
MD.model.ptg000007l.1542,ptg000007lG001299
MD.model.ptg000007l.157,ptg000007lG000118
MD.model.ptg000007l.158,ptg000007lG000119
MD.model.ptg000007l.159,ptg000007lG000120
MD.model.ptg000007l.16,ptg000007lG000009
MD.model.ptg000007l.164,ptg000007lG000122
MD.model.ptg000007l.166,ptg000007lG000123
MD.model.ptg000007l.167,ptg000007lG000124
MD.model.ptg000007l.168,ptg000007lG000125
MD.model.ptg000007l.169,ptg000007lG000126
MD.model.ptg000007l.170,ptg000007lG000127
MD.model.ptg000007l.172,ptg000007lG000128
MD.model.ptg000007l.173,ptg000007lG000129
MD.model.ptg000007l.174,ptg000007lG000130
MD.model.ptg000007l.175,ptg000007lG000131
MD.model.ptg000007l.178,ptg000007lG000132
MD.model.ptg000007l.179,ptg000007lG000133
MD.model.ptg000007l.18,ptg000007lG000010
MD.model.ptg000007l.185,ptg000007lG000134
MD.model.ptg000007l.186,ptg000007lG000135
MD.model.ptg000007l.187,ptg000007lG000136
MD.model.ptg000007l.188,ptg000007lG000137
MD.model.ptg000007l.189,ptg000007lG000138
MD.model.ptg000007l.19,ptg000007lG000011
MD.model.ptg000007l.192,ptg000007lG000139
MD.model.ptg000007l.193,ptg000007lG000140
MD.model.ptg000007l.194,ptg000007lG000141
MD.model.ptg000007l.198,ptg000007lG000143
MD.model.ptg000007l.199,ptg000007lG000144
MD.model.ptg000007l.2,ptg000007lG000002
MD.model.ptg000007l.200,ptg000007lG000145
MD.model.ptg000007l.201,ptg000007lG000146
MD.model.ptg000007l.203,ptg000007lG000147
MD.model.ptg000007l.204,ptg000007lG000148
MD.model.ptg000007l.206,ptg000007lG000149
MD.model.ptg000007l.207,ptg000007lG000150
MD.model.ptg000007l.208,ptg000007lG000151
MD.model.ptg000007l.21,ptg000007lG000013
MD.model.ptg000007l.210,ptg000007lG000152
MD.model.ptg000007l.212,ptg000007lG000153
MD.model.ptg000007l.213,ptg000007lG000154
MD.model.ptg000007l.214,ptg000007lG000155
MD.model.ptg000007l.215,ptg000007lG000156
MD.model.ptg000007l.218,ptg000007lG000157
MD.model.ptg000007l.22,ptg000007lG000014
MD.model.ptg000007l.220,ptg000007lG000158
MD.model.ptg000007l.221,ptg000007lG000159
MD.model.ptg000007l.222,ptg000007lG000160
MD.model.ptg000007l.223,ptg000007lG000161
MD.model.ptg000007l.224,ptg000007lG000162
MD.model.ptg000007l.226,ptg000007lG000164
MD.model.ptg000007l.227,ptg000007lG000165
MD.model.ptg000007l.229,ptg000007lG000167
MD.model.ptg000007l.230,ptg000007lG000168
MD.model.ptg000007l.231,ptg000007lG000169
MD.model.ptg000007l.234,ptg000007lG000170
MD.model.ptg000007l.238,ptg000007lG000171
MD.model.ptg000007l.239,ptg000007lG000172
